index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
1050,None,2.10533e+06,1,4,3117,3321,1675,4997
1051,None,2.01401e+06,1,1,6756,3318,1680,4998
1052,None,2.07074e+06,1,4,4699,3315,1683,4998
1053,None,2.01566e+06,1,4,6875,3311,1688,5000
1054,None,2.00683e+06,1,2,7068,3308,1693,5002
1055,None,2.09514e+06,1,4,7544,3305,1699,5004
1056,None,2.09886e+06,1,4,2706,3302,1700,5002
1057,None,2.0201e+06,1,4,6900,3299,1705,5004
1058,None,2.13238e+06,1,4,3380,3296,1706,5002
1059,None,2.01906e+06,1,2,6790,3293,1711,5004
1060,None,1.89495e+06,1,5,8069,3290,1717,5007
1061,None,1.94977e+06,1,2,6955,3286,1722,5009
1062,None,2.02365e+06,1,2,6852,3283,1727,5011
1063,None,2.02559e+06,1,4,6721,3280,1731,5012
1064,None,2.06664e+06,1,2,4648,3277,1734,5012
1065,None,2.08379e+06,1,4,7166,3274,1739,5014
1066,None,2.05862e+06,1,2,4604,3271,1742,5013
1067,None,2.0683e+06,1,4,4581,3268,1745,5013
1068,None,2.08997e+06,1,2,7053,3265,1750,5015
1069,None,2.05547e+06,1,4,4582,3262,1752,5015
1070,None,2.05566e+06,1,4,4626,3259,1755,5014
1071,None,2.07026e+06,1,2,4558,3256,1758,5014
1072,None,2.04756e+06,1,4,4634,3253,1760,5013
1073,None,2.04662e+06,1,3,5783,3250,1764,5014
1074,None,2.07706e+06,1,4,4642,3247,1767,5014
1075,None,2.04508e+06,1,4,4538,3244,1769,5013
1076,None,2.04745e+06,1,4,4624,3241,1772,5013
1077,None,2.07465e+06,1,4,4626,3238,1775,5013
1078,None,2.03464e+06,1,4,4525,3235,1777,5012
1079,None,2.04434e+06,1,2,4533,3232,1780,5012
1080,None,2.07682e+06,1,4,4574,3229,1782,5011
1081,None,2.055e+06,1,4,4562,3226,1785,5011
1082,None,2.05593e+06,1,2,7554,3223,1790,5013
1083,None,2.07594e+06,1,3,5120,3220,1793,5013
1084,None,2.04234e+06,1,4,4960,3217,1796,5013
1085,None,2.05283e+06,1,4,4638,3214,1799,5013
1086,None,2.07585e+06,1,2,4617,3211,1801,5013
1087,None,2.04289e+06,1,5,5922,3208,1805,5014
1088,None,2.02679e+06,1,4,6874,3205,1810,5015
1089,None,2.08309e+06,1,4,6943,3202,1814,5017
1090,None,2.05578e+06,1,2,4611,3199,1817,5017
1091,None,2.07622e+06,1,4,4626,3196,1820,5016
1092,None,2.09082e+06,1,4,6958,3193,1824,5018
1093,None,1.50223e+06,1,4,1848,3190,1824,5015
1094,None,1.34228e+06,1,6,1602,3187,1824,5012
1095,None,1.4281e+06,1,6,1984,3185,1824,5009
1096,None,1.4442e+06,1,3,1836,3182,1824,5006
1097,None,1.37873e+06,1,5,1708,3179,1824,5003
1098,None,1.44726e+06,1,6,4408,3176,1827,5003
1099,None,1.41242e+06,1,6,1943,3173,1827,5000
1100,None,1.47566e+06,1,6,6857,3170,1831,5002
1101,None,1.41946e+06,1,6,1874,3167,1831,4999
1102,None,1.4581e+06,1,3,1827,3164,1831,4996
1103,None,1.43834e+06,1,7,1744,3161,1831,4993
1104,None,1.40028e+06,1,3,1841,3159,1831,4990
1105,None,1.47183e+06,1,6,3185,3156,1832,4989
1106,None,1.48538e+06,1,6,1818,3153,1832,4986
1107,None,1.42797e+06,1,3,1829,3150,1832,4983
1108,None,1.54518e+06,1,4,3822,3147,1834,4982
1109,None,1.34981e+06,1,7,1861,3144,1834,4979
1110,None,1.26442e+06,1,6,1621,3142,1834,4976
1111,None,1.25442e+06,1,4,15343,3139,1846,4985
1112,None,1.19066e+06,1,5,3450,3136,1848,4984
1113,None,1.24766e+06,1,6,1492,3133,1847,4981
1114,None,1.27807e+06,1,4,1723,3130,1847,4978
1115,None,1.22826e+06,1,5,23042,3127,1866,4994
1116,None,1.2925e+06,1,7,1763,3125,1866,4991
1117,None,1.2811e+06,1,6,1854,3122,1866,4988
1118,None,1.24698e+06,1,6,9639,3119,1873,4993
1119,None,1.2949e+06,1,5,1463,3116,1873,4989
1120,None,1.30876e+06,1,5,4461,3114,1875,4989
1121,None,1.26654e+06,1,5,1385,3111,1875,4986
1122,None,1.30744e+06,1,5,1510,3108,1874,4983
1123,None,1.30598e+06,1,6,5640,3105,1878,4983
1124,None,1.25026e+06,1,5,1532,3102,1877,4980
1125,None,1.32214e+06,1,4,1570,3100,1877,4977
1126,None,1.30577e+06,1,6,1625,3097,1877,4974
1127,None,1.23599e+06,1,4,1376,3094,1876,4971
1128,None,1.25918e+06,1,4,1466,3091,1876,4968
1129,None,1.29112e+06,1,5,1566,3089,1876,4965
1130,None,1.24983e+06,1,6,1535,3086,1875,4962
1131,None,1.29674e+06,1,6,2924,3083,1876,4960
1132,None,1.29311e+06,1,2,1301,3081,1876,4957
1133,None,1.24911e+06,1,4,1474,3078,1875,4954
1134,None,1.28689e+06,1,5,1468,3075,1875,4951
1135,None,1.28508e+06,1,6,9407,3072,1882,4955
1136,None,1.24618e+06,1,6,1515,3070,1881,4952
1137,None,1.27798e+06,1,4,1401,3067,1881,4949
1138,None,1.24079e+06,1,5,7003,3064,1885,4950
1139,None,1.24946e+06,1,6,1601,3062,1885,4947
1140,None,1.27559e+06,1,7,5336,3059,1888,4948
1141,None,1.28062e+06,1,6,1688,3056,1888,4945
1142,None,1.23231e+06,1,4,1356,3054,1888,4942
1143,None,1.2669e+06,1,3,1523,3051,1887,4939
1144,None,1.22941e+06,1,5,14537,3048,1898,4947
1145,None,1.25475e+06,1,5,1479,3046,1898,4944
1146,None,1.22625e+06,1,6,1430,3043,1898,4941
1147,None,1.24726e+06,1,4,1439,3040,1897,4938
1148,None,1.21518e+06,1,6,1416,3038,1897,4935
1149,None,1.25202e+06,1,7,9709,3035,1904,4939
1150,None,1.23241e+06,1,2,1626,3032,1903,4936
1151,None,1.24498e+06,1,6,1660,3030,1903,4933
1152,None,1.21427e+06,1,4,1647,3027,1903,4931
1153,None,1.24658e+06,1,7,9564,3025,1910,4935
1154,None,1.21126e+06,1,6,1595,3022,1909,4932
1155,None,1.27125e+06,1,7,1791,3019,1909,4929
1156,None,1.2303e+06,1,4,1564,3017,1909,4926
1157,None,1.26315e+06,1,5,12452,3014,1918,4933
1158,None,1.24222e+06,1,6,1508,3012,1918,4930
1159,None,1.29791e+06,1,6,5640,3009,1921,4930
1160,None,1.25391e+06,1,6,9521,3006,1927,4934
1161,None,1.29955e+06,1,4,1387,3004,1927,4931
1162,None,1.26906e+06,1,6,1617,3001,1927,4928
1163,None,1.3207e+06,1,4,1573,2999,1926,4925
1164,None,1.30365e+06,1,5,1454,2996,1926,4922
1165,None,1.32269e+06,1,5,9549,2993,1932,4926
1166,None,1.32738e+06,1,6,5762,2991,1936,4927
1167,None,1.27473e+06,1,6,1785,2988,1936,4924
1168,None,1.32192e+06,1,8000,1324,2993,1935,4928
1169,None,1.31858e+06,1,4,5587,2990,1938,4929
1170,None,1.26864e+06,1,6,8342,2988,1944,4932
1171,None,1.3122e+06,1,5,1517,2985,1943,4929
1172,None,1.26746e+06,1,6,1532,2982,1943,4926
1173,None,1.30618e+06,1,6,17846,2980,1957,4937
1174,None,1.25734e+06,1,5,1402,2977,1956,4934
1175,None,1.2893e+06,1,7,9968,2975,1963,4938
1176,None,1.26311e+06,1,3,1477,2972,1962,4935
1177,None,1.31568e+06,1,6,1581,2970,1962,4932
1178,None,1.35103e+06,1,7,14130,2967,1972,4940
1179,None,1.51287e+06,1,4,1588,2965,1972,4937
1180,None,1.37233e+06,1,4,1376,2962,1972,4934
1181,None,1.4276e+06,1,4,2926,2960,1972,4933
1182,None,1.38146e+06,1,6,9698,2957,1979,4937
1183,None,1.45458e+06,1,6,1731,2955,1979,4934
1184,None,1.41579e+06,1,3,1600,2952,1978,4931
1185,None,1.48197e+06,1,3,1824,2950,1978,4929
1186,None,1.45056e+06,1,6,11568,2947,1986,4934
1187,None,1.46894e+06,1,5,1768,2945,1986,4932
1188,None,1.42566e+06,1,6,1686,2942,1986,4929
1189,None,1.45424e+06,1,6,1698,2940,1986,4926
1190,None,1.39365e+06,1,5,1538,2937,1985,4923
1191,None,1.42797e+06,1,4,1605,2935,1985,4920
1192,None,1.41066e+06,1,5,1634,2932,1985,4918
1193,None,1.46202e+06,1,5,9685,2930,1991,4922
1194,None,1.44296e+06,1,6,1884,2928,1991,4919
1195,None,1.50065e+06,1,5,9904,2925,1998,4923
1196,None,1.47158e+06,1,6,1899,2923,1998,4921
1197,None,1.47124e+06,1,5,1569,2920,1997,4918
1198,None,1.4837e+06,1,5,10996,2918,2005,4923
1199,None,1.48538e+06,1,5,10127,2915,2012,4927
1200,None,1.43208e+06,1,3,1760,2913,2011,4925
1201,None,1.53567e+06,1,2,1813,2911,2011,4922
1202,None,2.06618e+06,1,4,5862,2908,2014,4923
1203,None,2.08109e+06,1,2,7111,2906,2019,4925
1204,None,2.10066e+06,1,4,2863,2903,2019,4923
1205,None,2.02096e+06,1,4,9099,2901,2025,4927
1206,None,2.07444e+06,1,2,19122,2898,2039,4938
1207,None,2.07653e+06,1,1,6786,2896,2043,4940
1208,None,2.02269e+06,1,4,7442,2894,2048,4942
1209,None,2.04246e+06,1,4,15068,2891,2059,4950
1210,None,2.01433e+06,1,4,15862,2889,2070,4959
1211,None,2.03302e+06,1,4,15047,2886,2081,4968
1212,None,2.01965e+06,1,4,14984,2884,2091,4976
1213,None,2.04243e+06,1,4,18546,2882,2105,4987
1214,None,2.0147e+06,1,3,17010,2879,2117,4997
1215,None,1.98477e+06,1,4,6348,2877,2121,4998
1216,None,2.01327e+06,1,2,10435,2875,2127,5003
1217,None,2.02156e+06,1,4,12625,2872,2136,5009
1218,None,1.97676e+06,1,2,6475,2870,2140,5010
1219,None,2.03024e+06,1,2,14503,2868,2150,5018
1220,None,2.03532e+06,1,2,15031,2865,2160,5026
1221,None,1.98547e+06,1,4,15137,2863,2171,5034
1222,None,2.02417e+06,1,4,18620,2861,2184,5045
1223,None,2.02458e+06,1,4,28272,2858,2206,5064
1224,None,1.99425e+06,1,4,17050,2856,2218,5074
1225,None,2.02548e+06,1,4,14681,2854,2228,5082
1226,None,2.01842e+06,1,2,6603,2851,2232,5083
1227,None,1.97013e+06,1,4,15267,2849,2242,5092
1228,None,2.025e+06,1,4,14973,2847,2253,5100
1229,None,2.0316e+06,1,4,14591,2844,2263,5107
1230,None,1.96923e+06,1,2,8457,2842,2268,5110
1231,None,2.00773e+06,1,4,15151,2840,2278,5118
1232,None,2.02083e+06,1,2,9688,2837,2284,5122
