index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
160,2,792586,0.986402,1404,582,1177,89390,90567
161,2,774300,0.985115,1509,213864,1179,90163,91342
162,2,783706,0.986101,1360,658,1180,89610,90791
163,2,780238,0.986305,1071,215271,1179,90381,91561
164,2,769538,0.985102,1420,551,1181,89833,91015
165,2,779998,0.98655,1326,205540,1182,90535,91717
166,2,765692,0.98498,1201,656,1182,89993,91176
167,2,786960,0.987234,1089,214530,1181,90739,91921
168,2,794430,0.986184,1080,512,1181,90202,91383
169,2,783252,0.9855,989,208146,1180,90900,92080
170,2,791724,0.987108,1141,814,1179,90370,91550
171,2,788084,0.985292,1321,205047,1180,91040,92221
172,2,779198,0.985458,1013,444,1179,90514,91694
173,2,787050,0.986041,1046,226759,1178,91301,92480
174,2,788172,0.986646,1057,396,1178,90779,91957
175,2,777142,0.984961,1035,516,1177,90263,91441
176,2,794648,0.985955,2405,212250,1184,90956,92141
177,2,797110,0.986425,1173,677,1184,90446,91630
178,2,791950,0.987351,1146,196861,1184,91044,92228
179,2,807500,0.987048,1056,204144,1183,91676,92859
180,2,804680,0.985886,1044,417,1182,91169,92351
181,2,823352,0.986353,1108,193724,1182,91735,92918
182,2,826142,0.986641,2021,841,1186,91236,92423
183,2,815558,0.98605,1776,198565,1190,91822,93013
184,2,822276,0.986122,1234,632,1190,91327,92517
185,2,799662,0.986574,1120,219797,1189,92021,93211
186,2,847558,0.985203,1131,642,1189,91530,92720
187,2,834604,0.986492,1135,214308,1189,92187,93376
188,2,819588,0.986847,1207,418,1189,91698,92888
189,2,776924,0.987127,1048,212950,1188,92340,93529
190,2,772144,0.985833,1199,595,1188,91857,93046
191,2,769450,0.985383,1410,214560,1189,92500,93689
192,2,820596,0.988308,1067,399,1189,92020,93209
193,2,829870,0.987047,1080,216093,1188,92663,93851
194,2,848190,0.987296,1151,434,1188,92187,93376
195,2,788326,0.986206,1260,208818,1188,92785,93974
196,2,777508,0.987226,2242,844,1194,92316,93511
197,2,728348,0.984297,1590,205017,1196,92888,94085
198,2,774956,0.985518,1074,506,1195,92422,93617
199,2,807440,0.985847,1357,219348,1196,93060,94256
200,2,953582,0.987963,1251,580,1196,92597,93794
201,2,993622,0.989545,1621,215034,1198,93206,94405
202,2,951242,0.988209,1243,210633,1199,93788,94987
203,2,961336,0.988988,1936,837,1202,93330,94532
204,2,924704,0.987299,1801,205034,1205,93877,95083
205,2,958316,0.988542,1479,625,1206,93422,94629
206,2,964254,0.987568,1892,192530,1210,93904,95114
207,2,929278,0.986009,1255,209384,1210,94461,95672
208,2,942698,0.987482,2498,1368,1216,94014,95231
209,2,939330,0.988194,1210,178230,1216,94417,95633
210,2,923834,0.98843,1252,220371,1216,95017,96233
211,2,954248,0.988932,1214,567,1216,94569,95786
212,2,958420,0.989204,1502,210309,1218,95115,96333
213,2,951352,0.988175,1198,495,1218,94671,95889
214,2,983058,0.989095,1369,200080,1218,95163,96382
215,2,995070,0.989733,1715,205160,1221,95675,96896
216,2,972912,0.987712,2430,1227,1226,95238,96464
217,2,997308,0.989032,1355,182847,1227,95641,96869
218,2,985694,0.987772,1643,211595,1229,96173,97402
219,2,1.01293e+06,0.989392,1814,191014,1231,96606,97838
220,2,1.02168e+06,0.989436,1359,616,1232,96170,97402
221,2,1.05148e+06,0.989766,1419,222338,1233,96741,97974
222,2,1.00862e+06,0.988004,1724,1027,1235,96310,97545
223,2,1.04586e+06,0.989438,1059,208099,1234,96811,98046
224,2,1.00328e+06,0.987967,1433,217106,1235,97348,98584
225,2,1.02803e+06,0.98983,1597,820,1237,96919,98156
226,2,991212,0.988902,2452,210169,1242,97420,98663
227,2,1.01597e+06,0.989971,1648,218929,1244,97955,99200
228,2,970346,0.988567,1699,937,1246,97530,98776
229,2,999338,0.989734,1416,211108,1247,98026,99273
230,2,977250,0.987944,975,212809,1245,98525,99771
231,2,1.01051e+06,0.990257,1127,498,1245,98101,99346
232,2,983322,0.989194,1151,212319,1244,98593,99838
233,2,1.0104e+06,0.989721,2139,192611,1248,98996,100245
234,2,985206,0.988361,1067,484,1248,98575,99823
235,2,1.00904e+06,0.989265,1299,206170,1248,99033,100281
236,2,1.00328e+06,0.988636,1357,217855,1248,99537,100785
237,2,691522,0.983751,1086,605,1248,99119,100367
238,2,619760,0.981217,1186,534,1247,98705,99953
239,2,638790,0.98198,729,211533,1245,99177,100423
240,2,631546,0.981112,935,322,1244,98765,100009
241,2,659818,0.984145,1015,233531,1243,99324,100568
242,2,669132,0.984122,1013,323,1242,98915,100158
243,2,686226,0.982828,1497,445,1243,98510,99754
244,2,694108,0.982866,1363,209280,1243,98964,100208
245,2,716974,0.984335,3363,1313,1252,98565,99818
246,2,717470,0.984346,1102,198451,1251,98972,100223
247,2,735296,0.983774,1412,500,1252,98573,99825
248,2,735540,0.983668,1108,210052,1252,99022,100274
249,2,752658,0.985516,1100,492,1251,98627,99878
250,2,735258,0.983702,1125,357,1250,98234,99484
251,2,752304,0.984939,1178,212151,1250,98687,99938
252,2,749350,0.985313,1198,441,1250,98298,99548
253,2,748208,0.982963,1201,186155,1250,98645,99895
254,2,752984,0.9842,1033,366,1249,98258,99507
255,2,722386,0.982293,1040,200652,1248,98659,99908
256,2,721944,0.985196,1011,394,1247,98276,99523
257,2,704354,0.983669,1004,196313,1246,98657,99904
258,2,686960,0.984183,2123,1129,1250,98279,99529
259,2,704354,0.983504,1448,191884,1250,98640,99891
260,2,672278,0.983104,1621,846,1252,98264,99517
261,2,707236,0.984372,1481,204685,1253,98672,99925
262,2,830464,0.986496,1119,508,1252,98297,99550
263,2,789364,0.985966,1032,212958,1251,98733,99985
264,2,767888,0.987124,2160,794,1255,98362,99618
265,2,777090,0.986145,1735,181865,1257,98677,99934
266,2,772336,0.985585,1061,182775,1256,98994,100250
267,2,757764,0.983956,1931,2390,1258,98632,99891
268,2,774158,0.987013,2177,164649,1262,98878,100140
269,2,775552,0.986717,1255,154199,1262,99084,100346
270,2,768214,0.985779,1851,3947,1264,98731,99996
271,2,769930,0.9862,2033,183466,1267,99044,100311
272,2,758094,0.98549,1178,147267,1266,99221,100488
273,2,761468,0.985469,1007,3019,1265,98869,100135
274,2,765110,0.986984,995,311573,1264,99645,100910
275,2,760414,0.986874,962,341,1263,99284,100548
276,2,768008,0.986518,1107,107181,1263,99313,100576
277,2,771616,0.985783,1413,814,1263,98957,100221
278,2,763902,0.985385,1069,420,1263,98603,99866
279,2,775830,0.986188,1398,636,1263,98252,99515
280,2,776304,0.986991,1723,188479,1265,98574,99839
281,2,765152,0.986153,1148,584,1264,98225,99490
282,2,814810,0.987438,1266,195574,1264,98570,99835
283,2,1.0584e+06,0.987048,2391,209677,1268,98963,100232
284,2,1.06053e+06,0.988498,1539,746,1269,98617,99887
285,2,1.06158e+06,0.987946,2005,191005,1272,98941,100214
286,2,1.01777e+06,0.988005,1300,340176,1272,99785,101057
287,2,1.05466e+06,0.989143,2144,623,1275,99439,100715
288,2,1.05677e+06,0.988411,1757,172245,1277,99692,100969
289,2,1.01585e+06,0.987313,1794,818,1278,99350,100629
290,2,1.04066e+06,0.988153,1115,198824,1278,99693,100971
291,2,1.0445e+06,0.988494,1572,220270,1279,100107,101387
292,2,995812,0.987501,1464,1035,1280,99768,101048
293,2,1.02204e+06,0.989262,1439,213434,1280,100156,101436
294,2,982788,0.988108,3166,218643,1286,100559,101846
295,2,1.01606e+06,0.988953,1673,831,1288,100221,101509
296,2,1.0175e+06,0.987933,1981,210673,1290,100594,101885
297,2,992380,0.986995,1537,201167,1291,100933,102224
298,2,1.04243e+06,0.988241,1198,654,1291,100596,101887
299,2,1.05526e+06,0.988549,1600,203352,1292,100940,102232
300,2,1.0212e+06,0.987627,1379,199315,1292,101268,102560
301,2,1.07408e+06,0.989261,1402,537,1292,100933,102226
302,2,938990,0.988361,1184,215433,1292,101312,102605
303,2,920640,0.988609,1294,204055,1292,101651,102944
304,2,895758,0.986744,1960,983,1294,101320,102615
305,2,923562,0.988469,2269,205515,1297,101662,102960
306,2,930750,0.987898,1509,701,1298,101332,102630
307,2,909788,0.98774,1772,197894,1300,101646,102946
308,2,937394,0.989363,1549,232458,1300,102071,103372
309,2,934518,0.986878,2210,747,1303,101743,103047
310,2,924334,0.988111,1506,236207,1304,102177,103481
311,2,953656,0.989319,2488,1534,1308,101853,103162
312,2,965942,0.988811,2042,229801,1310,102263,103574
313,2,948576,0.989163,1252,481,1310,101938,103249
314,2,970930,0.988381,1236,198956,1310,102247,103557
315,2,972596,0.988435,1239,217108,1309,102612,103922
316,2,949686,0.988498,1246,641,1309,102289,103599
317,2,970398,0.987349,1296,234462,1309,102706,104016
318,2,967634,0.989806,1265,646,1309,102385,103695
319,2,936624,0.987775,1560,234109,1310,102798,104108
